,actual,predicted,actual_return,predicted_change,position,strategy_return,position_change,transaction_costs,strategy_return_net,cumulative_market,cumulative_strategy
2015-10-09,33.58982467651367,34.621258,,0.030706712982337712,1,,,,,1.0,1.0
2015-10-12,33.92451858520508,34.639145,0.009964145746953701,0.0210651865393756,1,0.009964145746953701,0.0,0.0,0.009964145746953701,1.0099641457469537,1.0099641457469537
2015-10-13,33.7874641418457,34.578278,-0.0040399819680608795,0.023405528237483236,1,-0.0040399819680608795,0.0,0.0,-0.0040399819680608795,1.005883908809748,1.005883908809748
2015-10-14,34.41364288330078,34.638287,0.018532871801987483,0.006527751451282682,0,0.018532871801987483,1.0,0.0005,0.018032871801987482,1.024525826339401,1.0240228843849963
2015-10-15,34.52785110473633,34.89194,0.0033186902596402668,0.010544819737431294,1,0.0,1.0,0.0005,-0.0005,1.0279259102200236,1.023510872942804
2015-10-16,34.75777053833008,34.81357,0.006658955777361086,0.0016053266950124025,0,0.006658955777361086,1.0,0.0005,0.006158955777361086,1.0347708233985824,1.029814631146907
2015-10-19,33.76710891723633,34.723457,-0.02850187471032617,0.028321892215690626,1,-0.0,1.0,0.0005,-0.0005,1.005277915036175,1.0292997238313335
2015-10-20,33.35991287231445,34.44349,-0.01205895494103204,0.03248138586392541,1,-0.01205895494103204,0.0,0.0,-0.01205895494103204,0.9931553139555391,1.0168874448408347
2015-10-21,33.82371520996094,34.488647,0.013902984082173608,0.01965875856182537,1,0.013902984082173608,0.0,0.0,0.013902984082173608,1.0069631364765892,1.0310252147998191
2015-10-22,35.72013473510742,34.994373,0.05606774753673416,-0.020317992050038557,0,0.05606774753673416,1.0,0.0005,0.05556774753673416,1.0634212913913565,1.0883169636398227
2015-10-23,36.30559539794922,36.155155,0.016390214291839733,-0.00414371984305623,0,0.0,0.0,0.0,0.0,1.0808509942397657,1.0883169636398227
2015-10-26,36.3900146484375,36.4739,0.0023252407669658304,0.002305170626654188,0,0.0,0.0,0.0,0.0,1.0833642330345876,1.0883169636398227
2015-10-27,36.59360885620117,36.476936,0.0055947822426176685,-0.0031883304083950505,0,0.0,0.0,0.0,0.0,1.0894254200078566,1.0883169636398227
2015-10-28,36.98739242553711,36.52752,0.010760993016112552,-0.012433241959100139,0,0.0,0.0,0.0,0.0,1.1011487193441367,1.0883169636398227
2015-10-29,36.616947174072266,36.670063,-0.01001544653926667,0.0014505809147348247,0,-0.0,0.0,0.0,-0.0,1.0901202232137635,1.0883169636398227
2015-10-30,37.13090515136719,37.01335,0.014036068459001516,-0.003165926347830268,0,0.0,0.0,0.0,0.0,1.105421225295334,1.0883169636398227
2015-11-02,37.18453979492188,37.035034,0.0014444744434871648,-0.004020639116657816,0,0.0,0.0,0.0,0.0,1.1070179780045613,1.0883169636398227
2015-11-03,37.506813049316406,37.398514,0.008666861447577556,-0.002887455546508172,0,0.0,0.0,0.0,0.0,1.1166123494399043,1.0883169636398227
2015-11-04,37.772979736328125,37.7574,0.007096489020854468,-0.0004124435970252354,0,0.0,0.0,0.0,0.0,1.124536376718255,1.0883169636398227
2015-11-05,37.81916427612305,37.928246,0.0012226872255594046,0.002884285530852273,0,0.0,0.0,0.0,0.0,1.1259113329807453,1.0883169636398227
2015-11-06,37.47999572753906,37.85979,-0.008968166142108935,0.010133274219768113,1,-0.0,1.0,0.0005,-0.0005,1.1158139730852907,1.087772805158003
2015-11-09,37.65330123901367,37.646484,0.004623946937839962,-0.00018104293088141567,0,0.004623946937839962,1.0,0.0005,0.004123946937839962,1.1209734376893374,1.0922587224868998
2015-11-10,38.00040817260742,37.760754,0.009218499365843291,-0.0063066307058348885,0,0.0,0.0,0.0,0.0,1.1313071306138038,1.0922587224868998
2015-11-11,37.5673942565918,38.220123,-0.011394980655175302,0.017374881791523147,1,-0.0,1.0,0.0005,-0.0005,1.1184159077453977,1.0917125931256564
2015-11-12,36.750030517578125,37.576523,-0.021757264648991526,0.022489567979405843,1,-0.021757264648991526,0.0,0.0,-0.021757264648991526,1.094082236852939,1.0679599133163846
2015-11-13,37.26398468017578,37.01642,0.013985135668168391,-0.006643578921291126,0,0.013985135668168391,1.0,0.0005,0.013485135668168391,1.1093831253674606,1.0823614976356215
2015-11-16,37.04351043701172,37.03293,-0.005916550391921849,-0.00028566326706096575,0,-0.0,0.0,0.0,-0.0,1.1028194042022763,1.0823614976356215
2015-11-17,37.74020004272461,37.52623,0.01880733217489028,-0.005669556178397102,0,0.0,0.0,0.0,0.0,1.1235604950660232,1.0823614976356215
2015-11-18,37.73672866821289,37.77965,-9.198081906791611e-05,0.0011374322880554346,0,-0.0,0.0,0.0,-0.0,1.1234571490514147,1.0823614976356215
2015-11-19,38.58387756347656,37.913227,0.022448922446668185,-0.01738162477512553,0,0.0,0.0,0.0,0.0,1.1486775514626248,1.0823614976356215
2015-11-20,38.56898880004883,38.572247,-0.0003858804342109501,8.446556589110332e-05,0,-0.0,0.0,0.0,-0.0,1.148234299270298,1.0823614976356215
2015-11-23,38.2179069519043,38.48074,-0.009102697764896694,0.006877211824612134,0,-0.0,0.0,0.0,-0.0,1.1377822694807527,1.0823614976356215
2015-11-24,38.19953536987305,38.234585,-0.00048070612695694237,0.0009175357275210488,0,-0.0,0.0,0.0,-0.0,1.1372353305726703,1.0823614976356215
2015-11-25,38.266822814941406,38.306126,0.0017614728665371615,0.0010270731416037095,0,0.0,0.0,0.0,0.0,1.1392385397503415,1.0823614976356215
2015-11-26,38.334110260009766,38.32856,0.001758375535741763,-0.00014478970514347764,0,0.0,0.0,0.0,0.0,1.1412417489280127,1.0823614976356215
2015-11-27,37.88123321533203,38.34225,-0.011813944333284199,0.012170079205763188,1,-0.0,1.0,0.0005,-0.0005,1.1277591824353572,1.0818203168868037
2015-11-30,38.92105484008789,38.23717,0.027449518838130293,-0.017571046565978507,0,0.027449518838130293,1.0,0.0005,0.026949518838130293,1.158715629358491,1.1109748538962168
2015-12-01,38.6260986328125,38.714592,-0.007578319973270409,0.0022910247293987515,0,-0.0,0.0,0.0,-0.0,1.149934511561183,1.1109748538962168
2015-12-02,38.14689636230469,38.377304,-0.01240617839930469,0.00604001208002416,0,-0.0,0.0,0.0,-0.0,1.1356682188632377,1.1109748538962168
2015-12-03,38.693626403808594,38.17426,0.01433222866445738,-0.013422552143276421,0,0.0,0.0,0.0,0.0,1.1519448754629427,1.1109748538962168
2015-12-04,38.384765625,38.503307,-0.007982213287152429,0.003088249090469648,0,-0.0,0.0,0.0,-0.0,1.1427498057719552,1.1109748538962168
2015-12-07,38.49151992797852,38.22759,0.0027811633402026192,-0.006856868081798572,0,0.0,0.0,0.0,0.0,1.1459279796387918,1.1109748538962168
2015-12-08,37.8663330078125,38.39011,-0.016242198835894506,0.013832261179041976,1,-0.0,1.0,0.0005,-0.0005,1.1273155895418836,1.1104193664692688
2015-12-09,37.74169158935547,38.03513,-0.0032916157588144257,0.007774902115050722,0,-0.0032916157588144257,1.0,0.0005,-0.0037916157588144257,1.1236048997821904,1.1062090829004712
2015-12-10,37.26398468017578,37.739,-0.012657273404099834,0.012747260846821375,1,-0.0,1.0,0.0005,-0.0005,1.109383125367461,1.105655978359021
2015-12-11,37.86583709716797,37.495472,0.01615104831535552,-0.009780983895110182,0,0.01615104831535552,1.0,0.0005,0.01565104831535552,1.127300825825511,1.1229606534964798
2015-12-14,37.744171142578125,37.574596,-0.003213079755179704,-0.004492739737435529,0,-0.0,0.0,0.0,-0.0,1.1236787183640538,1.1229606534964798
2015-12-15,38.56352615356445,38.255577,0.021708120384766882,-0.007985500727703694,0,0.0,0.0,0.0,0.0,1.1480716712561012,1.1229606534964798
